route_id,delay_minutes,occupancy_pct,status
RT_BER_000,0.4,0.0,ON TIME
RT_BER_001,0.3,0.0,ON TIME
RT_BER_002,0.6,0.0,ON TIME
RT_BER_003,0.5,0.0,ON TIME
RT_BER_004,0.4,0.0,ON TIME
RT_BER_005,0.5,0.0,ON TIME
RT_BER_006,0.6,0.0,ON TIME
RT_BER_007,0.7,0.0,ON TIME
RT_BER_008,0.5,0.0,ON TIME
RT_BER_009,0.3,0.0,ON TIME
RT_LON_000,0.6,0.0,ON TIME
RT_LON_001,1.1,0.0,ON TIME
RT_LON_002,0.5,0.2,ON TIME
RT_LON_003,0.5,0.2,ON TIME
RT_LON_004,1.2,0.0,ON TIME
RT_LON_005,0.7,0.0,ON TIME
RT_LON_006,0.8,0.2,ON TIME
RT_LON_007,1.3,0.0,ON TIME
RT_LON_008,0.4,0.1,ON TIME
RT_LON_009,0.8,0.0,ON TIME
