timestamp,station_id,station_name,day_of_week,hour_of_day,is_weekend,is_peak_hour,entry_count,exit_count,current_occupancy,max_capacity,occupancy_pct,congestion_level
2026-08-09 06:00:00,STN_001,Central Hub,6,6,1,0,156,111,352,1200,29.3,Low
2026-08-09 06:00:00,STN_002,Tech Park,6,6,1,0,111,63,211,1000,21.1,Low
2026-08-09 06:00:00,STN_003,Airport Terminal,6,6,1,0,457,382,868,1500,57.9,Medium
2026-08-09 06:00:00,STN_004,City Center,6,6,1,0,190,184,406,1100,36.9,Low
2026-08-09 06:00:00,STN_005,University Junction,6,6,1,0,186,148,323,900,35.9,Low
2026-08-09 06:00:00,STN_006,Financial District,6,6,1,0,173,110,352,1300,27.1,Low
2026-08-09 07:00:00,STN_001,Central Hub,6,7,1,0,209,147,430,1200,35.8,Low
2026-08-09 07:00:00,STN_002,Tech Park,6,7,1,0,208,109,352,1000,35.2,Low
2026-08-09 07:00:00,STN_003,Airport Terminal,6,7,1,0,395,276,753,1500,50.2,Medium
2026-08-09 07:00:00,STN_004,City Center,6,7,1,0,296,175,557,1100,50.6,Medium
2026-08-09 07:00:00,STN_005,University Junction,6,7,1,0,142,109,346,900,38.4,Low
2026-08-09 07:00:00,STN_006,Financial District,6,7,1,0,173,124,313,1300,24.1,Low
2026-08-09 08:00:00,STN_001,Central Hub,6,8,1,0,279,176,512,1200,42.7,Low
2026-08-09 08:00:00,STN_002,Tech Park,6,8,1,0,206,169,372,1000,37.2,Low
2026-08-09 08:00:00,STN_003,Airport Terminal,6,8,1,0,366,351,780,1500,52.0,Medium
2026-08-09 08:00:00,STN_004,City Center,6,8,1,0,246,150,413,1100,37.5,Low
2026-08-09 08:00:00,STN_005,University Junction,6,8,1,0,97,91,231,900,25.7,Low
2026-08-09 08:00:00,STN_006,Financial District,6,8,1,0,204,131,353,1300,27.2,Low
2026-08-09 09:00:00,STN_001,Central Hub,6,9,1,0,168,191,400,1200,33.3,Low
2026-08-09 09:00:00,STN_002,Tech Park,6,9,1,0,174,113,306,1000,30.6,Low
2026-08-09 09:00:00,STN_003,Airport Terminal,6,9,1,0,386,260,842,1500,56.1,Medium
2026-08-09 09:00:00,STN_004,City Center,6,9,1,0,215,181,437,1100,39.7,Low
2026-08-09 09:00:00,STN_005,University Junction,6,9,1,0,105,61,190,900,21.1,Low
2026-08-09 09:00:00,STN_006,Financial District,6,9,1,0,108,109,270,1300,20.8,Low
2026-08-09 10:00:00,STN_001,Central Hub,6,10,1,0,221,178,433,1200,36.1,Low
2026-08-09 10:00:00,STN_002,Tech Park,6,10,1,0,198,203,438,1000,43.8,Low
2026-08-09 10:00:00,STN_003,Airport Terminal,6,10,1,0,391,319,844,1500,56.3,Medium
2026-08-09 10:00:00,STN_004,City Center,6,10,1,0,165,154,335,1100,30.5,Low
2026-08-09 10:00:00,STN_005,University Junction,6,10,1,0,170,133,357,900,39.7,Low
2026-08-09 10:00:00,STN_006,Financial District,6,10,1,0,194,176,366,1300,28.2,Low
2026-08-09 11:00:00,STN_001,Central Hub,6,11,1,0,237,165,514,1200,42.8,Low
2026-08-09 11:00:00,STN_002,Tech Park,6,11,1,0,208,184,420,1000,42.0,Low
2026-08-09 11:00:00,STN_003,Airport Terminal,6,11,1,1,530,389,1065,1500,71.0,High
2026-08-09 11:00:00,STN_004,City Center,6,11,1,0,202,174,403,1100,36.6,Low
2026-08-09 11:00:00,STN_005,University Junction,6,11,1,0,146,134,273,900,30.3,Low
2026-08-09 11:00:00,STN_006,Financial District,6,11,1,0,214,216,476,1300,36.6,Low
2026-08-09 12:00:00,STN_001,Central Hub,6,12,1,0,315,188,530,1200,44.2,Low
2026-08-09 12:00:00,STN_002,Tech Park,6,12,1,0,201,187,382,1000,38.2,Low
2026-08-09 12:00:00,STN_003,Airport Terminal,6,12,1,1,528,538,1141,1500,76.1,High
2026-08-09 12:00:00,STN_004,City Center,6,12,1,0,245,205,466,1100,42.4,Low
2026-08-09 12:00:00,STN_005,University Junction,6,12,1,0,119,125,297,900,33.0,Low
